,SubmitPerView,Ratio,Customer_Value_Score,SubmissionScore2,Submission_Score,Credit_Card_Apply_Clicked,Date,Express_No_Offers,Express_Visited,FCS_Client_Signup Completed,FCS_Qform_Optin_Completed,Form_Conversion,Form_Engagement_1,Form_Engagement_2,FormStart,FormSubmit_in_Express_Offers,GeoSegmentation_States,state,GeoSegmentationStatesSplit2,GeoSegmentationStates,Lender_Not_Matched,Lenders_Matched,Mobile_Device_Type,MyLT_Session_Started,Number_of_Records,Page_Views,Product_Reporting,TreeAuthID,Visit_Number,Visitor_ID,cchannel,csource,Qformuid
536895,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,minnesota (united states),minnesota,united states,minnesota (united states),0,0,Mobile Phone,0,1,1,Refinance,e14877f4-d158-40a3-a254-8f4d21bcea4c,5,5253611182748981564_6436209949225455460,perf,1.0,01f2bdaf-8ce7-4660-b9ef-9e823c694fea
537047,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,illinois (united states),illinois,united states,illinois (united states),0,0,Mobile Phone,0,1,1,Refinance,6d4d8412-2cfb-4525-9140-018f9d07c21d,2,7597791451908785018_2191044406114785557,perf,1.0,9c2c275c-6334-4ee4-bd99-b272fcac703c
537089,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,georgia (united states),georgia,united states,georgia (united states),0,0,Mobile Phone,0,1,1,Refinance,ed254eab-fbbc-4ae4-9169-8ad24ffb52db,7,6659778380694142367_8438981310288776228,perf,1.0,2497c3e0-fc0f-4e4c-8317-89f48d05343f
537090,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,washington (united states),washington,united states,washington (united states),0,0,Mobile Phone,0,1,1,Refinance,be0a5273-df40-4e74-8289-53071a6968b3,7,6817356367848875384_5109831313531899180,perf,1.0,bebaa001-ba31-4679-8a28-729f23605ba7
537128,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,missouri (united states),missouri,united states,missouri (united states),0,0,Mobile Phone,0,1,2,Refinance,95914356-e748-42ca-86d4-c72ddf411019,10,8356170375580677604_8422904786520074201,perf,1.0,661b004a-5f7a-40db-aa75-0898fb9b6a47
537138,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,1,Reverse Mortgage,0c01cde9-e34d-4d1b-896d-fc0c43a817a4,3,4410490537057200609_6025651889563381551,perf,1.0,f67ebc00-cc11-410e-b240-dde27fc67fb8
537149,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,2,0,0,0,0,0,0,0,indiana (united states),indiana,united states,indiana (united states),0,0,Mobile Phone,0,1,1,Refinance,4b519476-9abc-4259-b1b9-975258ed495b,2,8072188669296863722_1918576519503638815,perf,1.0,bcf6d079-f1bb-479f-9920-c1f54b7665e3
537617,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,georgia (united states),georgia,united states,georgia (united states),0,0,Other,0,1,2,Purchase,7a2dd63d-ff7e-4a04-b00b-2912e43c65d1,8,5848696584619610042_2848459791182090607,perf,1.0,d594196c-0681-4e46-a70f-ba0303d43732
537711,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,new york (united states),new york,united states,new york (united states),0,0,Other,0,1,2,Refinance,2110fbbf-9898-4fdf-b9e6-a492c9580d45,4,7853833712367098111_6583010123583359150,perf,1.0,7f1a352c-b7b5-41af-affb-54648520d515
537733,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,vermont (united states),vermont,united states,vermont (united states),0,0,Tablet,0,1,1,Personal,5db4eac7-0662-4aec-9523-0b9b103e9293,1,6539878260392661456_4336164984441885895,perf,1.0,de8c1bbd-7e9f-4afd-a74f-423d27ccd2f6
537776,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,connecticut (united states),connecticut,united states,connecticut (united states),0,0,Tablet,0,1,2,Refinance,0935361a-17ab-47f3-ab31-0df8bbf7cdf7,2,2159960881343853989_1691120369846539945,perf,1.0,6da25c52-3d64-4206-b4c5-bdd05ddcc5e3
537896,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,florida (united states),florida,united states,florida (united states),0,0,Mobile Phone,0,1,1,Personal,df25700c-ba90-4a9e-91bd-bed9b4360f8f,2,4680776540414553695_2070345230926654415,aff,27.0,abdf866e-6742-4e5c-86e4-fc0c7be22115
537951,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,maryland (united states),maryland,united states,maryland (united states),0,0,Mobile Phone,0,1,4,Purchase,bc1273c3-fee7-4644-af4d-60ad96165d3f,30,1353721876064466414_701987825736488772,aff,27.0,e629936c-225a-4b68-8017-e89896b9899d
538106,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,indiana (united states),indiana,united states,indiana (united states),0,0,Mobile Phone,0,1,1,Refinance,80a36abc-f85b-4ede-9c7b-2883f19822d5,2,3439905110298514698_6325982040053701571,aff,27.0,0c2ee40d-72c0-4715-97ed-a559eab27d6e
538138,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,1,Refinance,e5ac31ca-684e-4dd6-ac07-fa3965d2ff4a,5,5631439341613091522_5721555532432658362,aff,27.0,b19b0abd-f1a6-4606-83e0-251e66ccfcdd
538141,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,maryland (united states),maryland,united states,maryland (united states),0,0,Mobile Phone,0,1,1,Refinance,23bd1afe-a3fc-48de-896e-709dce3c104b,8,3304703552386598545_3650346442609065876,aff,27.0,cc70abf7-27b4-442a-bc00-43ca4d89d920
538316,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,new york (united states),new york,united states,new york (united states),0,0,Tablet,0,1,1,Refinance,0781ceef-00d1-4da3-8c88-8f409af66920,7,2071370247885255387_6484908028744937166,aff,27.0,406cbe8c-5b78-4205-b106-799876e4c3ec
538398,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,pennsylvania (united states),pennsylvania,united states,pennsylvania (united states),0,0,Mobile Phone,0,1,3,Personal,37f20cef-cb2b-42b4-86d3-38bb7e693d59,20,5317991872043428583_1579989127390898337,bd,30.0,de621eaf-6a5c-459a-a0e2-93c2f60bd74b
538784,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,florida (united states),florida,united states,florida (united states),0,0,Mobile Phone,0,1,23,Auto,da6da0e5-8737-45fc-ae2b-0d97b311654b,1,7368801040890807003_767201301649481167,bd,31.0,24fc8fc6-bac3-43fc-9301-c0f8c61d687c
541061,0.0,0.0,0.0,0.0,0.0,0,1/16/2018,0,0,0,0,0,1,1,1,0,oregon (united states),oregon,united states,oregon (united states),0,0,Mobile Phone,0,1,7,Personal,82d24f6e-19cb-42a0-8e37-bc396c1627b8,10,2438690923314495565_5005473023807279655,aff,27.0,9567e1c2-3480-4798-98fa-71b7f5f80a00
541065,0.0,0.0,0.0,0.0,0.0,0,1/16/2018,0,0,0,0,0,1,1,1,0,california (united states),california,united states,california (united states),0,0,Mobile Phone,0,1,11,Personal,efd050ec-086a-4bc0-9990-6264255afef2,11,7180197171240249445_2857844214086022040,aff,27.0,2e6f5712-bd58-4ca9-9c43-a043f6b9037e
541294,0.0,0.0,0.0,0.0,0.0,0,1/16/2018,0,0,0,0,0,1,1,1,0,texas (united states),texas,united states,texas (united states),0,0,Other,0,1,9,Auto,eee5e42c-a02d-4f33-a167-26de9e564d32,2,268795464821616976_4982765617579753174,bd,31.0,b33efef6-487f-4452-8616-dd23007e2c12
548737,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,1,Personal,34a097c2-893b-4fa0-b54e-d298e79c94ae,1,783498593761582845_3777374663620310784,bd,31.0,85dbf681-f951-4e50-9d2b-3101bb09eaa3
548742,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,1,Personal,30b7d6d5-de50-41ed-ab2c-d750ca1ff97d,7,6613384186076113451_1638038519992369140,bd,31.0,f64679fb-21a8-4ef1-becd-62a4e6950559
548744,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,north carolina (united states),north carolina,united states,north carolina (united states),0,0,Mobile Phone,0,1,1,Personal,f020a019-539a-4cef-98e2-68ac78b570e3,9,2116916212790934472_5191088402652517808,bd,31.0,5acafbc3-e0ec-4585-b46e-61356a409b05
548759,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,california (united states),california,united states,california (united states),0,0,Mobile Phone,0,1,1,Purchase,e56ce38e-7d41-4f1d-9b63-7065a646d745,3,7582632611107300444_8634175537842113178,bd,31.0,65bd87e8-4129-4176-b082-3ae77e0d5062
548767,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,new jersey (united states),new jersey,united states,new jersey (united states),0,0,Mobile Phone,0,1,1,Purchase,c095df02-2af2-4f7a-9057-e534ca7f631e,3,8617133641243978000_7191586548687340112,content,31.0,f527c2d8-6882-4201-a472-6ab9cd01d65c
548922,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,1,Refinance,a9f5d2c4-a90a-4bdd-87ef-0dd51ad9a0e7,17,2942514311087095717_448851338720499453,content,31.0,1c964785-989f-4d47-9cf8-20932d33dd83
549669,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,florida (united states),florida,united states,florida (united states),0,0,Tablet,0,1,1,Refinance,8ac25b6e-05bf-4f26-bd82-e497fbfa3ad3,5,626841334662577920_3213204145206550171,content,31.0,138b1e21-bef6-4bb4-98bb-c7ed1db4854c
549710,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,1,0,1,0,illinois (united states),illinois,united states,illinois (united states),0,0,Mobile Phone,0,1,3,Personal,20567a5a-c0eb-4535-8bdf-fe65febfd7e4,28,8670486943070310170_1457838801283252577,bd,31.0,de8859ae-ad4c-4c6c-b10f-fd56ab76abc9
549724,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,north dakota (united states),north dakota,united states,north dakota (united states),0,0,Mobile Phone,0,1,1,Reverse Mortgage,4ada030d-3e83-4351-8bcb-33e3b332b73a,4,7730656473560638705_1086180191362896101,perf,33.0,bb24f5c5-dd85-48d8-aa83-659e1e3fe6ce
550357,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,new jersey (united states),new jersey,united states,new jersey (united states),0,0,Mobile Phone,1,1,4,Personal,29d752cb-6d78-48ef-ab45-4cce7f511538,16,6478551783774426545_485709668864181692,perf,1.0,a1829d04-9eec-4e68-9226-bf5cbd0e6b0b
550360,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,colorado (united states),colorado,united states,colorado (united states),0,0,Mobile Phone,1,1,2,Refinance,5b3aa925-7f57-4707-8be2-1fb51c146a35,1,5956707215687384358_5751163580992134770,perf,1.0,005d175c-7243-4d61-9707-b667f8e84125
550361,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,arkansas (united states),arkansas,united states,arkansas (united states),0,0,Mobile Phone,1,1,5,Refinance,c0a90ba0-2952-4cb7-ab04-38e06f40d872,1,152589678888796709_6102261468545556360,perf,1.0,b5ed57d8-c11c-4f96-b358-b79fa942680c
550362,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,1,0,california (united states),california,united states,california (united states),0,0,Mobile Phone,1,1,4,Refinance,b56ab0ca-9550-4331-aecb-4dc2182b29bc,35,170843922348115340_2843940799025490422,perf,1.0,f56e3ab9-c70b-434f-a5e7-b152f2e9685a
550364,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,1,0,0,0,0,0,0,0,california (united states),california,united states,california (united states),0,0,Mobile Phone,1,1,3,Purchase,6ea27fcf-4bcc-44ae-907f-10ab83e077e8,1,1076515189943368005_3252070586303897148,perf,1.0,1c5f0a10-19e2-467a-a2a5-18a0ec19ae35
550365,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,1,0,0,0,0,0,0,0,connecticut (united states),connecticut,united states,connecticut (united states),0,0,Mobile Phone,1,1,4,Purchase,597d5e21-f1b3-4da4-8690-f0d789e5f9c8,1,1373794947640543452_8713387491286215068,perf,1.0,5104adba-ab9b-46a4-be1c-f46857d86022
550366,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,1,0,0,0,0,0,0,0,illinois (united states),illinois,united states,illinois (united states),0,0,Mobile Phone,1,1,6,Refinance,2fc612fb-f116-4056-bf73-cb0cfbf9eae9,1,2616622279057199449_2082856630770432396,perf,1.0,85a8de9d-6418-4a19-b014-1b03e60dc25a
550373,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,district of columbia (united states),district of columbia,united states,district of columbia (united states),0,0,Other,1,1,1,Refinance,400caf1e-3178-4084-b364-01d2a306bdde,2,2867746516884360100_6895412121206778998,perf,1.0,7481c5fa-e3ed-4511-acb6-808c5e15b204
550374,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,new york (united states),new york,united states,new york (united states),0,0,Other,1,1,5,Refinance,2de69bb5-ce2c-4ccb-a4b1-18a1c403e6e3,3,3731646824631557195_5585904824964959967,perf,1.0,e006214b-8051-4180-bfcb-0169e0235465
550376,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,1,0,0,0,0,0,0,0,ohio (united states),ohio,united states,ohio (united states),0,0,Other,1,1,7,Purchase,85e793a6-cde4-492d-a01a-c7754387c1ed,1,9073892826375717637_5645620319881311803,perf,1.0,6ec5bc93-8558-4a8b-bab3-4d4171ae50fd
550377,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,1,0,0,0,0,0,0,0,georgia (united states),georgia,united states,georgia (united states),0,0,Other,1,1,2,Refinance,12a9a459-948c-4cac-b8fb-f32fd358eb19,1,972525529015753252_3241790264756912087,perf,1.0,aa439900-83c0-458b-8b9d-59b8efa79fbb
550378,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,tennessee (united states),tennessee,united states,tennessee (united states),0,0,Tablet,1,1,1,Refinance,d961aebd-1aa3-487f-a5f1-6038e0cea3c4,1,4763968052370637414_9217795970752307182,perf,1.0,2128c069-bd15-46a9-b3bd-9f2a42aedc62
550379,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,6,0,0,0,0,0,0,0,south carolina (united states),south carolina,united states,south carolina (united states),0,0,Tablet,1,1,9,Refinance,35ebfa52-de64-4b15-a539-dde90360520e,2,2657388659598252336_5100312308106275348,perf,1.0,6ee4268a-e36c-4fe4-ab61-214575bdf324
550382,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,new york (united states),new york,united states,new york (united states),0,0,Other,1,1,5,Personal,7b829cc7-b496-4dec-8f58-1c23831fc48e,42,5510389352449072328_8950574800961603140,aff,27.0,289f0c53-f058-4391-a3fc-9056a77b9469
550387,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,california (united states),california,united states,california (united states),0,0,Mobile Phone,1,1,1,Purchase,d03dee67-f333-409a-b671-ad0da48eb0d0,1,5620146156334512429_7142190467120322689,content,31.0,02ce7b79-6540-4966-858d-6cb6656a8634
550388,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,illinois (united states),illinois,united states,illinois (united states),0,0,Mobile Phone,1,1,3,Refinance,d8876431-b702-4ac0-931f-7a016b249350,1,1946069512750638126_493005946599055568,content,31.0,fa4c2eb5-d42a-45d6-8e85-0945153852fb
550393,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,washington (united states),washington,united states,washington (united states),0,0,Other,1,1,3,Personal,1e80ede4-2770-4835-8c65-3530c094501d,2,2514535684627031080_29730768544697130,bd,31.0,eb41cc16-131c-4001-a60f-b1ea1db27201
550434,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,0,0,0,0,north carolina (united states),north carolina,united states,north carolina (united states),0,0,Mobile Phone,3,1,5,Purchase,91b2b604-ac7e-4684-b56f-c5e2934b0216,2,8093686513898081584_947085096664452944,bd,31.0,4eee0e0a-f7d6-40ed-abc6-78a10d10b0f5
552370,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,1,1,1,0,alabama (united states),alabama,united states,alabama (united states),0,0,Mobile Phone,0,1,4,Personal,4b6d976d-5df0-46bc-933d-7e6b81a1cdaa,58,9020333463862615211_2466192315432765107,perf,1.0,28d34954-a575-4242-9d60-1f481bab44bf
552475,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,1,1,1,0,pennsylvania (united states),pennsylvania,united states,pennsylvania (united states),0,0,Mobile Phone,0,1,15,Refinance,116f49aa-6484-435d-a302-1bf4940037b7,33,4437994943605809569_8684048830334602152,perf,1.0,d4f35eb8-4fcb-41eb-b492-856f6fa31e83
552614,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,1,1,0,0,california (united states),california,united states,california (united states),0,0,Mobile Phone,0,1,7,Purchase,5f3c4a9d-29be-43f4-b5ea-3c97f921933d,5,599365369881948774_3506648650155299082,aff,27.0,9a80a6f7-4d70-49da-b660-6506085967b3
552677,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,1,1,0,0,ohio (united states),ohio,united states,ohio (united states),0,0,Mobile Phone,0,1,15,Purchase,c31d01e0-7dd3-45ad-b689-ef4a93f09383,2,3054086142890499470_6852941359995568086,aff,27.0,c14af529-7662-48a7-b9f7-75876bf4efd2
552692,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,1,1,0,0,north carolina (united states),north carolina,united states,north carolina (united states),0,0,Mobile Phone,0,1,23,Purchase,692c1ec1-afa5-459d-9b6b-4cb29eec2c81,3,702197028195545156_2136181936739082164,aff,27.0,9e69eb75-e366-4a00-b83b-489555f7e380
552760,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,0,1,1,1,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,4,Personal,30b7d6d5-de50-41ed-ab2c-d750ca1ff97d,7,6613384186076113451_1638038519992369140,bd,31.0,75ef6d70-45ba-49f8-90bb-f805ad9fee76
553025,0.0,0.0,0.0,0.0,0.0,0,2/4/2018,0,0,0,0,1,1,0,1,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,1,Refinance,663f2fcc-e8c1-432f-b843-d330edd36aaf,2,80022199031251253_1516991635395576343,perf,1.0,f1edaae5-f0dd-4715-83da-2a72a71a0165
553027,0.0,0.0,0.0,0.5,500.0,0,2/4/2018,0,1,0,0,1,1,0,1,1,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,2,Personal,48dde3a2-d222-4025-b677-e882957d18fe,1,775140577293477022_7382445519413670994,perf,1.0,444f2d33-fcb3-4f9f-81b7-e59f4cdef6bd
553028,0.0,0.0,0.0,0.5,500.0,0,2/4/2018,0,1,0,0,1,1,0,1,1,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,2,Personal,76262bc0-5cd0-4199-8797-ecc45c6e82cd,1,8029883707956678198_7985154477053529501,perf,1.0,2b4b6e7e-e0d8-4535-b552-b3e3d159fb6b
553029,0.0,0.0,0.0,0.5,500.0,0,2/4/2018,0,1,0,0,1,1,0,1,1,washington (united states),washington,united states,washington (united states),0,0,Mobile Phone,0,1,2,Personal,92637cb3-71c8-4db3-bf00-2f6474216006,1,2318907030188813564_8067471325770834078,perf,1.0,55fbdb09-d591-404f-8f91-dcac4fbbfa23
553030,0.0,0.0,0.0,0.5,500.0,0,2/4/2018,0,1,0,0,1,1,0,1,1,florida (united states),florida,united states,florida (united states),0,0,Mobile Phone,0,1,2,Personal,ab87ab9f-f4b0-4331-a634-42b537b4ef90,3,1023534140794097032_6597353515313336906,perf,1.0,f193a712-3998-4963-b394-5c82f95b1d2f
553031,0.0,0.0,0.0,0.2,200.0,0,2/4/2018,0,1,0,0,1,1,0,1,1,illinois (united states),illinois,united states,illinois (united states),0,0,Other,0,1,5,Refinance,7f16f47d-5300-4d58-bf65-b9be25b4fd52,1,7674731885992877601_3343506010746045865,perf,1.0,93b4db34-daca-4eab-ab4d-ccfd554eb151
553032,0.0,0.0,0.0,0.5,500.0,0,2/4/2018,0,1,0,0,1,1,0,1,1,new york (united states),new york,united states,new york (united states),0,0,Tablet,0,1,2,Personal,d9254994-333c-495d-bada-a6589864dfc0,1,649823856862456797_4050136635478516283,perf,1.0,476fcc56-d083-48a7-813d-39d1623d427a
553033,0.0,0.0,0.0,0.5,500.0,0,2/4/2018,0,1,0,0,1,1,0,1,1,texas (united states),texas,united states,texas (united states),0,0,Tablet,0,1,2,Personal,c1cf95ca-4a67-44a3-b0fc-8bf6fae047bd,6,9006347997826601188_41685094144162433,perf,1.0,c31c9806-8c96-47ce-ad0a-2e56b8180448
553034,0.0,0.0,0.0,0.5,500.0,0,2/4/2018,0,1,0,0,1,1,0,1,1,new jersey (united states),new jersey,united states,new jersey (united states),0,0,Mobile Phone,0,1,2,Personal,7a52cc64-4758-4ebd-bb28-d2288f72d7ad,2,7369285731038949191_2054782584275339220,aff,27.0,9493be28-b202-4858-ba53-acf6b2abaab0
561011,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,arizona (united states),arizona,united states,arizona (united states),0,0,Mobile Phone,0,1,1,Personal,bfd6e44c-a896-45b1-a009-0986e5f91850,1,474263330816651535_8288748273747853370,perf,1.0,610c5337-46cd-46b2-90c0-3b14be1f5941
561021,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,michigan (united states),michigan,united states,michigan (united states),0,0,Mobile Phone,0,1,1,Personal,7a6898a7-a048-45d9-8b95-40a0b5d5f453,1,6631426395667902859_5353453899117941031,perf,1.0,453bdb2a-74f7-4685-b25d-8a4d9ebd7db1
561054,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,south carolina (united states),south carolina,united states,south carolina (united states),0,0,Mobile Phone,0,1,3,Personal,cd9d4df2-5881-4645-9933-7857521f2b6f,7,3992200108030115682_4073330113996256907,perf,1.0,a7a5d5f7-6789-4006-ab52-0cff2c326387
561127,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,0,0,ohio (united states),ohio,united states,ohio (united states),0,0,Mobile Phone,0,1,1,Refinance,63b44596-13e4-4a68-a8aa-c9256edda5be,3,8311021082480715182_6479269791109872457,perf,1.0,0f2e34ca-c01c-429b-a562-7cc3ad27e308
561129,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,0,0,florida (united states),florida,united states,florida (united states),0,0,Mobile Phone,0,1,3,Refinance,9d7dabde-56cb-4c93-9167-91267b735474,4,2170084193431935069_3050579760468841518,perf,1.0,7a81e997-a173-41af-a0ef-1c4224c7630c
561131,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,0,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,4,Refinance,89a03d61-fdfc-4815-8248-0cc0585f327a,2,6509976122970678573_5670830189483302952,perf,1.0,2a0ae81c-bafa-437b-bfb4-66e16ded0cff
561206,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,florida (united states),florida,united states,florida (united states),0,0,Mobile Phone,0,1,1,Refinance,07d1614e-cc6d-4a12-9e41-e37341e17b2f,1,6584698910931040967_392033139840137246,perf,1.0,c542e909-f7cf-42cb-a00d-f1c78bf47653
561311,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,massachusetts (united states),massachusetts,united states,massachusetts (united states),0,0,Mobile Phone,0,1,1,Refinance,095ad114-04bd-4048-9f15-1d404bf6f335,2,7307361138170148001_2221454196528237928,perf,1.0,3b170e7e-98c7-46a3-930e-90b07e4e1e66
561339,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,washington (united states),washington,united states,washington (united states),0,0,Mobile Phone,0,1,1,Refinance,6e223069-9b1c-4c87-9149-b7d39345ddeb,3,6682114678606840107_8494690466144718716,perf,1.0,259cf595-75b0-4c29-9703-5eb168fd2c49
561350,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,1,Refinance,0a5544c3-f8eb-4bfe-a99b-501687f36dcb,5,3320205193260540744_70839397634340073,perf,1.0,a7048e2b-9ae0-497b-9a54-56de4f066188
561415,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,california (united states),california,united states,california (united states),0,0,Mobile Phone,0,1,2,Refinance,a02ab907-0fa7-4cbe-824c-0cf0b51523be,5,8248657107307194189_5563712022598925541,perf,1.0,11daf847-7068-45f2-bb44-c4315e67cc70
561926,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,0,0,texas (united states),texas,united states,texas (united states),0,0,Other,0,1,1,Home Equity,0c1887b2-bbb8-427c-a1f5-bf190ec2a2e9,25,3952352129628090092_5528242911716321077,perf,1.0,cdddde81-cb89-43f5-b39c-5ef115f71f20
561993,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,oklahoma (united states),oklahoma,united states,oklahoma (united states),0,0,Other,0,1,1,Personal,9a01e942-fc32-4f22-96fe-a265ac86aacd,14,8918122317547110969_3754038964209100865,perf,1.0,ce395d8e-0239-40b1-9d52-88b7ea3933e4
562053,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,0,0,south carolina (united states),south carolina,united states,south carolina (united states),0,0,Other,0,1,2,Refinance,0b9194f9-1539-44dd-8aa5-100c621fa9aa,3,6601312144029449808_4141809958649983535,perf,1.0,4fad8834-a053-444d-800c-4b0184287d8f
562096,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,ohio (united states),ohio,united states,ohio (united states),0,0,Other,0,1,1,Refinance,79a2da0a-5e57-4703-94b7-e183ffbe3ce5,2,3775483669949405875_1231649130047185110,perf,1.0,6c6af13b-bb4e-4b00-bdb9-b07c3277038a
562106,0.0,0.0,0.0,0.0,0.0,0,1/20/2018,0,0,0,0,0,0,0,1,0,arizona (united states),arizona,united states,arizona (united states),0,0,Other,0,1,1,Refinance,0efee664-bd32-4dff-9543-2d8682653f0c,8,7095355455128381575_6983725778051909362,perf,1.0,5b246327-cb09-4439-a7d7-aca7e63e60ce
